Real Response,Model Response
C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O,CC(=O)NC1=CC=CC=C1O
CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC,CC(C(=O)O)NC1=CC=C(C=C1)O.COc2cc(ccc2C(=O)O)CC(=O)O
CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCCC3CC2C(=O)O,CC(C)C(=O)NC(CSSC1=NN=C(O1)C2=C(C=C(C=C2Cl)Cl)Cl)C(=O)N3CC(C3)(COCN(CC)C)OCCCCCCN.Cl
CCOC(=O)NC1CCC2C(C1)CC3C(C2C=CC4=NC=C(C=C4)C5=CC(=CC=C5)F)C(OC3=O)C.OS(=O)(=O)O,C1C2C(C3C1C4(C(C3(C2C4O)F)Cl)F)C(=O)OCC(=O)O
C1=CC(=C(C(=C1)C(=O)C2=CC=C(C=C2)Br)N)CC(=O)[O-].[Na+],CC(=O)NC1=CC=C(C=C1)O
CN(C1=C(N=C(N=C1N)C2=NN(C3=C2C=CC=N3)CC4=CC=CC=C4F)N)C(=O)OC,CC(=O)NC1=NC2=C(N1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)O)C(=O)NCCC4=CN5C(=O)C=CC=C5C=N4
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,C1=NC2=C(N1)C(=N(C=N2)C3C(C(C(O3)CO)O)OP(=O)(O)O)N=C(N)N
CC(C)(C)C(=O)OC1=C(C=C(C=C1)C(CNC)O)OC(=O)C(C)(C)C.Cl,C1CN(CCC1NCCC2=CC=CC=C2)C2=CC=CC=C2.C1CN(CCC1NCCC2=CC=CC=C2)C2=CC=CC=C2.[Cl-]
C(CC(O)(P(=O)(O)O)P(=O)(O)[O-])CN.[Na+],CC(C)OP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@]([H])(COP(=O)(O)OCC[N+](C)(C)C)O[C@H]1OP(=O)(O)O
C(C(F)(F)F)(OC(F)F)F,C1CC(=C(C(=O)O1)CCN)O.Cl
