Real Response,Model Response
C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO.C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO.OS(=O)(=O)O,CC1=C(N2C(C(C2=O)NC(=O)CCC(F)(F)F)O)C=CS(=O)C1
C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,CC(C1CN2CCC1CC2)C(CCN)C3=CNC4=CC=CC(=C34)OS(=O)(=O)N
CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,CC1=CC=C(C=C1)CN(CCO)CCO.CC2=CC=C(C=C2)CN(CCO)CCO.OS(=O)(=O)O
CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],C1=NC2=C(N1CC(CO)O)N=C(C=C2)Cl
[H+].[H+].[H+].[H+].[H+].[H+].[H+].[H+].[H+].C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[O-]P(=O)([O-])OP(=O)([O-])[O-].[O-]P(=O)([O-])OP(=O)([O-])[O-].[O-]P(=O)([O-])OP(=O)([O-])[O-].[Fe+3].[Fe+3].[Fe+3].[Fe+3],[Fe]
CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.C(C(C(=O)O)O)(C(=O)O)O,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.OS(=O)(=O)O
CC(C)OC(=O)CCCC=CCC1C(CC(C1CCC(CCC2=CC=CC=C2)O)O)O,CCCCC1CCC(C(C1)O)OCCCCCC(=O)O
C1CC1N2C=C(C(=O)C3=CC(=C(C(=C32)C#N)N4CC5C(C4)OCCN5)F)C(=O)O,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O.Cl
CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3.Cl,CCCCC(=O)OCC1C(C(C(OC1OC2C(=O)C3=CC=CC=C3C(=O)C2O)CO)O)OC4C(C(C(C(O4)C(=O)O)CN)O)O)O
CCCCCC(CCC1C(CC2C1CC3=C(C2)C(=CC=C3)OCC(=O)O)O)O,CC1(C(C(C/C=C\1CCCC(=O)O)O)O)C/C=C\CS(=O)C(=O)O
CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,C1=C(C(=CC(=C1)F)F)C2C3C(C(C(C(O3)C(=C2C(=O)O)O)O)OC4C(C(C(C(O4)CO)OC5C(C(C(C(O5)C(=O)O)C(=O)C)O)N)O)C)N)O
CC(C)OC(=O)OCOP(=O)(COC(C)CN1C=NC2=C(N=CN=C21)N)OCOC(=O)OC(C)C.C(=CC(=O)O)C(=O)O,CCC(CC(C)CNCC(CO)O)NC(=O)N1CCCC1C(=O)NNC(=O)C23CC4CC(C2)CC(C4)C3N
CC(CC1=CC=CC=C1)N,C1CNCCN1C2=NC3=C(C(=C2)Cl)C=CC(=C3)Cl.Cl
CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4.C(=CC(=O)O)C(=O)O.C(=CC(=O)O)C(=O)O,CC(C)C1=NC(=C(S1)C2=NC(=NC=C2C#N)C#N)C3=C(C(=CC=C3)F)F.C(C(C(=O)O)O)(C(=O)O)O
